RCC Candidate,Name,Street,City,IRP ID,County,State,Zip,Phone,Email,URL,Recovery Housing,Recovery Services,Type of Structure,Services Offered,Male Clients,Female Clients,Family Services,Minors Served,Pets Allowed,Operating Schedule (hours),Operating Schedule (days),Fees,Sources (page links),Approx # of Clients,Facility Operation (Private/Local/State/Fed),Non-English Language Services,"Group Specific Programs (Disabilities, LGBT, etc)","Licenses, Certification, Accreditation ",COVID
,Inroads to Recovery Inc.,933 East Pierce St,Council Bluffs,1101,Pottawattamie County,IA,51502,402-932-2248,NA,NA,no,yes,office,"substance use treatment (alcohol, drug, opioid), medications used in treatment, CBT, REBT, counseling approach, 12-step treatment, relapse prevention, outpatient",yes,yes,yes,yes,NA,NA,NA,"private pay, medicade, military",https://www.alltreatment.com/ia/accredited/,NA,private,NA,deaf/hard of hearing,"DOH, CARF",NA
,Oxford House Bluffs,725 5th Avenue,Council Bluffs,1102,Pottawattamie County,IA,51504,712 256-6670,NA,https://oxfordhouse.org/userfiles/file/,yes,yes,house,"Recovery housing for users, members of house meet with other members to discuss treatment plans, etc, relapse prevention",no,yes,no,no,NA,NA,NA,(call to learn more),https://www.transitionalhousing.org/state/iowa,,,,,,NA
,Oxford House Loess Hills,200 South 1st St,Council Bluffs,1103,Pottawattamie County,IA,51503,712-256-1954,NA,http://www.oxfordhouse.org/,yes,yes,house,"substance use treatment, sober living house for women, community empowerment, communtiy w/in the house",no,yes,NA,NA,NA,NA,NA,NA,https://www.womensoberhousing.com/housing/clearviewrecoveryinc.html,NA,NA,NA,NA,NA,Video discussing 
,Oxford House Lousee Hills,200 South 1st St,Council Bluffs,1104,Pottawattamie County,IA,51503,712 256-1954,NA,https://oxfordhouse.org/userfiles/file/,yes,yes,house,"Recovery housing for users, members of house meet with other members to discuss treatment plans, etc, relapse prevention",no,yes,yes,yes,NA,NA,NA,(call to learn more),https://www.transitionalhousing.org/state/iowa,,,,,,NA
,Humility of Mary Housing Inc.,3805 Mississippi Ave,Davenport,1201,Scott County,IA,52807,563 326-1330,hmhi@humilityofmaryhousing.com,https://www.humilityhomes.org/,No,no,Office,"Housing programs (about 100 leased apartments), outreach teams visit parking lots (etc.) make contact, provide living essentials, emergency housing for 18+, education plans for parents for higher income",yes,yes,yes,dependant,N/A,8am - 4pm,Mon-Fri,Non-profit,https://www.transitionalhousing.org/state/iowa,,,,,,"In accordance w social distancing, decided to relocate 106 adult patients in their facilities to 2 motels (approved by Scott County Health Officials), have volunteers delivering meals (from community), to those in the motels, overall it seems they are still running day-to-day processes, with COVID precautions. Their shelter on Vine & 5th remains open to any who may need help/treatment during this time, strong work and ties within the community, helping support those in need"
,"Humility of Mary Shelter, Inc.",1016 West 5th St,Davenport,1202,Scott County,IA,52807,563 322-8065,hmsiowa@gmail.com,https://www.humilityhomes.org/,No,no,Office/housing,"Overnight emergency housing, day shelter offers community phones (free calls), community room, newspapers w employment options, mainly focused on rehabilitating homeless",yes,yes,yes,dependant,N/A,6pm - 8am,Mon-Fri,Non-profit,https://www.transitionalhousing.org/state/iowa,,,,,,"In accordance w social distancing, decided to relocate 106 adult patients in their facilities to 2 motels (approved by Scott County Health Officials), have volunteers delivering meals (from community), to those in the motels, overall it seems they are still running day-to-day processes, with COVID precautions. Their shelter on Vine & 5th remains open to any who may need help/treatment during this time, strong work and ties within the community, helping support those in need"
,Myrtue Medical Behavior Health,1303 Garfield Ave,Harlan,1301,Shelby County,IA,51537,712-755-5056,NA,NA,no,yes,office,"substance use treatment (alcohol, drug, opioid), medications used in treatment, REBT, CBT, counseling approach, 12-step treatment, relapse prevention, outpatient (intensive and regular)",yes,yes,yes,yes,NA,NA,NA,"private pay, medicade, military,",https://www.alltreatment.com/ia/accredited/,NA,private,NA,NA,"State Funded Addiction Treatment Agency, DOH, MHSD, Hospital Licensing Authority",NA
,Emergency Residence Project,225 S Kellogg,Ames,1401,Story County,IA,50010,515-232-8075,erp@amesshelter.org,http://www.amesshelter.org/,Yes,no,House,"short-term emergency housing, transitional housing, rapid-rehousing, homelessness prevention",Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,https://www.transitionalhousing.org/state/iowa,,,,,,NA
,Oxford House Humility,175 North Ward St,Ottumwa,1501,Wapello County,IA,52501,641 954-8012,NA,https://oxfordhouse.org/userfiles/file/index.php,yes,yes,House,"Housing for recovering women, works on preventing relapse, community services (multiple oxford houses in IA, check site)",no,yes,no,no,no,NA,NA,all women pay for housing expenses,https://www.transitionalhousing.org/state/iowa,,,,,,"Video of man talking about alcoholism, not much actual info on how they are dealing w/ COVID"
,Oxford House Wapello,201 N Ward,Ottumwa,1502,Wapello County,IA,52501,641 919-2510,NA,https://oxfordhouse.org/userfiles/file/,yes,yes,House,"Hosuing for recovering men, works on preventing relapse, community services ",yes,no,no,no,no,NA,NA,all men pay for housing expenses,https://www.transitionalhousing.org/state/iowa,,,,,,"Video of man talking about alcoholism, not much actual info on how they are dealing w/ COVID"
,New Perspective Treatment Care,"1728 Central Ave, Suite 6",Fort Dodge,1601,Webster County,IA,50501,515-302-8025,NA,NA,no,yes,office,"substance use treatment (alcohol, drug), counseling approach, relapse prevention, outpatient (regular and intensive)",yes,yes,yes,yes,NA,NA,NA,private pay,https://www.alltreatment.com/ia/accredited/,NA,private,NA,NA,"State Funded Addiction Treatment Agency, DOH",NA
,YWCA of Fort Dodge,826 1st Avenue North,Fort Dodge ,1602,Webster County,IA,50501,515-573-3931,NA,http://www.centerforlifeempowerment.org,yes,yes,office/house,"transitional housing, half-way house, sober housing, substance use treatment (alcohol, drug, opioid), CBT, PTSD, counseling approach, 12-step treatment, matrix model, community outpatient (w voucher) 24 wk outpatient, residential inpatient (long and short term), outpatient (intensive and regular)",yes,yes,yes,yes,NA,NA,NA,private pay,https://www.alltreatment.com/ia/accredited/,NA,private,NA,NA,State Funded Addiction Treatment Agency,No COVID content updates listed at this time.
,Center for Souixland Transitional Housing,715 Douglas Str,Sioux City,1701,Woodbury County,IA,51101,712 252-1861,cfs@centerforsiouxland.org,http://www.centerforsiouxland.org/,no,no,House,"Transitional housing for homeless and their families, build employment skills",yes,yes,yes,no,no,8am - 5 pm,Mon-Fri,program fees,https://www.transitionalhousing.org/state/iowa,,,,,,"closed to the public, anticipate lot of work to be done over the phone"
,CrossRoads Transitional Home,1307 Court St,Sioux City,1702,Woodbury County,IA,51104,712 293-0283,jlogan@caasiouxland.org,server not found,no,no,office,"Aid for low-income families, senior employment training, family self-suffiency programs",yes,yes,yes,yes,no,8:30am - 5pm,Mon-Fri,NA,https://www.transitionalhousing.org/state/iowa,,,,,,NA
,Kulawik Counseling Services,411 24th St,Sioux City,1703,Woodbury County,IA,51104,712-587-6742,NA,NA,no,yes,office,"substance use treatment (alcohol, drug, opioid), REBT, counseling approach, 12-step treatment, community reinforcement + vouchers (24wk outpatient), relapse prevention, outpatient (regular and intensive)",yes,yes,no,yes,NA,NA,NA,"sliding scale fee (private pay, medicade)",https://www.alltreatment.com/ia/accredited/,NA,private,NA,"LGBTQ+ clients, sexual abuse/trauma clients, pregnant/post partum clients, ",State Funded Addiction Treatment Agency,NA
,Oxford House 16th Street,209 16th St,Sioux City,1704,Woodbury County,IA,51103,712-560-4134,NA,https://oxfordhouse.org/userfiles/file/,yes,yes,house,"Recovery housing for users, members of house meet with other members to discuss treatment plans, etc, relapse prevention",yes,no,no,no,no,NA,NA,men pay all fees,https://www.transitionalhousing.org/state/iowa,,,,,,"Video of man talking about alcoholism, not much actual info on how they are dealing w/ COVID"
,Oxford House Douglas Street,2615 Douglas St,Sioux City,1705,Woodbury County,IA,51104,712-560-8351,NA,https://oxfordhouse.org/userfiles/file/,yes,yes,house,"Recovery housing for users, members of house meet with other members to discuss treatment plans, etc, relapse prevention",yes,no,no,no,no,NA,NA,men pay all fees,https://www.transitionalhousing.org/state/iowa,,,,,,"Video of man talking about alcoholism, not much actual info on how they are dealing w/ COVID"
,Oxford House Nebraska Street,2931 Nebraska St,Sioux City,1706,Woodbury County,IA,51104,712-224-4546,NA,https://oxfordhouse.org/userfiles/file/,yes ,yes,House,"Recovery housing for users, members of house meet with other members to discuss treatment plans, etc., relapse prevention",no,yes,no,no,no,NA,NA,women pay all fees of house,https://www.transitionalhousing.org/state/iowa,,,,,,"Video of man talking about alcoholism, not much actual info on how they are dealing w/ COVID"
,Ponca Tribe of Nebraska/ Behavioral Services,125 Sixth St,Sioux City,1707,Woodbury County,IA,51103,712-258-0500,NA,http://www.poncatribe-ne.behavioralhealth.org,no,yes,office,"substance use treatment (alcohol, drug, opioid), CBT, REBT, counseling approach, 12-step treatment, relapse prevention, outpatient treatment",yes,yes,maybe,yes,NA,NA,NA,no payment accepted,https://www.alltreatment.com/ia/accredited/,NA,Division of Tribal Government Services ,NA,NA,State Funded Addiction Treatment Agency,"no updates, site only says locations are in KC?"
,Siouxland Counseling Services ,409 11th St,Sioux City,1708,Woodbury County,IA,51105,712-522-0947,NA,NA,no,yes,office,"substance use treatment (alcohol, drug), counseling approach, 12-step treatment, outpatient treatment (regular)",yes,yes,yes,yes,NA,NA,NA,private pay,https://www.alltreatment.com/ia/accredited/,NA,private,spanish dialect,NA,"State Funded Addiction Treatment Agency, DOH, MHSD",NA
